,Breast,Colon,Lung,Prostate,Skin
Age,0.145,0.079,0.006,0.051,-0.01
Smoking,0.388,0.51,0.261,0.425,0.427
Alcohol_Use,0.454,0.437,0.41,0.337,0.365
Obesity,0.165,0.393,0.3,0.275,0.397
Family_History,0.03,0.055,0.106,0.074,0.079
Diet_Red_Meat,0.292,0.197,0.411,0.348,0.337
Diet_Salted_Processed,0.362,0.294,0.456,0.311,0.393
Fruit_Veg_Intake,-0.191,-0.172,-0.116,-0.167,-0.2
Physical_Activity,0.027,0.118,0.129,-0.003,-0.019
Air_Pollution,0.47,0.489,0.427,0.462,0.442
Occupational_Hazards,0.458,0.43,0.444,0.358,0.315
BRCA_Mutation,0.005,0.092,0.044,-0.112,0.049
H_Pylori_Infection,0.042,-0.035,0.112,0.095,0.061
Calcium_Intake,0.014,0.018,0.046,0.043,0.003
BMI,0.014,-0.027,0.086,0.08,0.062
